,name,addr,owner,link
0,조은안마원,경남 창원시 성산구 마디미서로 54,"조수용,장헌철",http://knanma.com/parlor/view?m=16&id=250
1,최선생안마원,경남 진주시 진주역로 114,최명식,http://knanma.com/parlor/view?m=16&id=249
2,제일약손안마원,경남 사천시 사천읍 정의길 41,임태환,http://knanma.com/parlor/view?m=16&id=248
3,바른몸약손안마원(밀양),경남 밀양시 내이2길 8,하세인,http://knanma.com/parlor/view?m=16&id=226
4,건암물리지압원,경남 창원시 진해구 동진로 56-4,노재두,http://knanma.com/parlor/view?m=16&id=223
5,함양안마원,경남 함양군 수동면 수동1길 172,문찬석,http://knanma.com/parlor/view?m=16&id=217
6,홍선생안마원,경남 창녕군 남지읍 동포7길 9,홍수용,http://knanma.com/parlor/view?m=16&id=206
7,참편안안마원,경남 진주시 의곡길 3,정의창,http://knanma.com/parlor/view?m=16&id=205
8,진주지압안마센터,경남 진주시 돗골로94번길 6,김종환,http://knanma.com/parlor/view?m=16&id=204
9,건강안마원,경남 의령군 의령읍 의병로15길 3,조우현,http://knanma.com/parlor/view?m=16&id=200
10,주원전통안마원,경남 양산시 삼호동부로 39,황용기,http://knanma.com/parlor/view?m=16&id=199
11,정유섬지압원,경남 양산시 양주3길 11-10,정유섬,http://knanma.com/parlor/view?m=16&id=198
12,이곳생명샘지압안마원,경남 양산시 북안남3길 23,송향옥,http://knanma.com/parlor/view?m=16&id=197
13,약손건강안마원,경남 양산시 동면 금오4길 66,박종일,http://knanma.com/parlor/view?m=16&id=196
14,창원안마원,경남 창원시 의창구 도계로 102,김미자,http://knanma.com/parlor/view?m=16&id=195
15,라파지압안마원,경남 양산시 물금읍 청운로 185,조형섭,http://knanma.com/parlor/view?m=16&id=194
16,명인안마지압센터,경남 창원시 성산구 원이대로393번길 25,이영우,http://knanma.com/parlor/view?m=16&id=193
17,두드림안마센터,경남 창원시 성산구 용지로 74,김은미,http://knanma.com/parlor/view?m=16&id=192
18,바른안마원,경남 창원시 성산구 상남동 73-4,남철조,http://knanma.com/parlor/view?m=16&id=191
19,윤안마원,경남 창원시 성산구 마디미로31번길 10,윤영주,http://knanma.com/parlor/view?m=16&id=190
20,화타의손안마원,경남 창원시 마산회원구 합성옛길 271,성정훈,http://knanma.com/parlor/view?m=16&id=189
21,행복한지압원,경남 창원시 마산회원구 용마로 126,박현제,http://knanma.com/parlor/view?m=16&id=188
22,제일안마센터,경남 창원시 마산회원구 양덕로 193,유순애,http://knanma.com/parlor/view?m=16&id=187
23,전통안마지압센터,경남 창원시 마산회원구 삼호로 36,하영옥,http://knanma.com/parlor/view?m=16&id=186
24,한효안마센터,경남 창원시 마산회원구 북성로 118,이영주,http://knanma.com/parlor/view?m=16&id=185
25,기룡안마지압센터,경남 창원시 마산합포구 진동면 서촌숲끝길 16,황동순,http://knanma.com/parlor/view?m=16&id=184
26,정일품안마통증관리,경남 창원시 마산합포구 오동서17길 10-16,박정택,http://knanma.com/parlor/view?m=16&id=183
27,사계절건강지압안마원,경남 사천시 벌리2길 7,김남곤,http://knanma.com/parlor/view?m=16&id=181
28,마이더스안마원,경남 창원시 의창구 반계로 103,김병주,http://knanma.com/parlor/view?m=16&id=180
29,약손안마원,경남 창원시 의창구 북면 감계리 234-2,이권우,http://knanma.com/parlor/view?m=16&id=179
30,편강안마센터,경남 창원시 성산구 상남로 246,송채은,http://knanma.com/parlor/view?m=16&id=178
31,백세안마원,경남 창원시 성산구 신월로 8,백원갑,http://knanma.com/parlor/view?m=16&id=177
32,핸드테크 지압원,경남 창원시 마산합포구 성호남1길 21,김동철,http://knanma.com/parlor/view?m=16&id=176
33,건강찾기안마원,경남 창원시 마산합포구 반월동1길 18,임정남,http://knanma.com/parlor/view?m=16&id=175
34,강안마지압원,경남 사천시 사천읍 사천읍성로 16,강상우,http://knanma.com/parlor/view?m=16&id=174
35,정선생지압안마원,경남 김해시 번화1로68번길 7,정환종,http://knanma.com/parlor/view?m=16&id=173
36,편한몸안마원,경남 창원시 의창구 원이대로 283,김명애,http://knanma.com/parlor/view?m=16&id=172
37,장유힐링지압원,경남 김해시 능동로7번길 8-23,양동식,http://knanma.com/parlor/view?m=16&id=171
38,팔팔안마원,경남 창원시 의창구 팔용로 420,유나경,http://knanma.com/parlor/view?m=16&id=170
39,웰빙지압원,경남 김해시 함박로119번길 18,박광범,http://knanma.com/parlor/view?m=16&id=169
40,성보수기안마원,경남 김해시 활천로16번길 9,장성보,http://knanma.com/parlor/view?m=16&id=168
41,현안마원,경남 창원시 의창구 평산로159번길 9,이현,http://knanma.com/parlor/view?m=16&id=167
42,실로암안마지압원,경남 창원시 진해구 용재로 11-1,민종철,http://knanma.com/parlor/view?m=16&id=166
43,보성안마원,경남 김해시 내외중앙로 44,김우철,http://knanma.com/parlor/view?m=16&id=165
44,더조은안마원,경남 창원시 진해구 충장로657번길 28,김윤관,http://knanma.com/parlor/view?m=16&id=164
45,바른몸약손안마원,경남 통영시 광도면 죽림2로 76-163,배성진,http://knanma.com/parlor/view?m=16&id=163
46,참좋은지압안마센터,경남 통영시 새터길 18,김문환,http://knanma.com/parlor/view?m=16&id=162
47,통영지압안마원,경남 통영시 당동길 4,서윤상,http://knanma.com/parlor/view?m=16&id=161
48,무병장수안마원,경남 함안군 가야읍 가야10길 13,박성남,http://knanma.com/parlor/view?m=16&id=160
49,백세건강지압원,경남 김해시 가락로93번길 7,정종남,http://knanma.com/parlor/view?m=16&id=159
50,로뎀지압원,경남 김해시 내외중앙로 44,이복금,http://knanma.com/parlor/view?m=16&id=158
51,라파지압원,경남 김해시 진영읍 여래로 27,정원열,http://knanma.com/parlor/view?m=16&id=157
52,한국안마센터,경남 고성군 고성읍 중앙로25번길 76,윤태호,http://knanma.com/parlor/view?m=16&id=156
53,햇빛안마클리닉,경남 거제시 옥포로 250,이명옥,http://knanma.com/parlor/view?m=16&id=155
54,최용석지압안마원,경남 합천군 합천읍 중앙로 33-32,최용석,http://knanma.com/parlor/view?m=16&id=154
